Date,Precip Type,temperature,App. Temp,Avg. Humidity,Avg Wind Speed(mph),Wind Bearing(degrees),Visibility(km),Loud Cover,Pressure(millibar),Daily summary
"Wed, 25 Apr 2018",rain,24.37222222,24.37222222,34.846153,13.54,300,9.9015,0,1004.55,Mostly cloudy .
"Wed, 25 Apr 2018",rain,24.37222222,24.37222222,34.846153,13.54,300,9.9015,0,1004.55,Mostly cloudy .
"Wed, 25 Apr 2018",rain,24.37222222,24.37222222,34.846153,13.54,300,9.9015,0,1004.55,Mostly cloudy .
"Wed, 25 Apr 2018",rain,24.37222222,24.37222222,34.846153,13.54,300,9.9015,0,1004.55,Mostly cloudy .
"Wed, 25 Apr 2018",rain,24.37222222,24.37222222,34.846153,13.54,300,9.9015,0,1004.55,Mostly cloudy .
"Wed, 25 Apr 2018",rain,24.37222222,24.37222222,34.846153,13.54,300,9.9015,0,1004.55,Mostly cloudy .
"Wed, 25 Apr 2018",rain,24.37222222,24.37222222,34.846153,13.54,300,9.9015,0,1004.55,Mostly cloudy .
"Wed, 25 Apr 2018",rain,24.37222222,24.37222222,34.846153,13.54,300,9.9015,0,1004.55,Mostly cloudy .
"Wed, 25 Apr 2018",rain,24.37222222,24.37222222,34.846153,13.54,300,9.9015,0,1004.55,Mostly cloudy .
"Wed, 25 Apr 2018",rain,24.37222222,24.37222222,34.846153,13.54,300,9.9015,0,1004.55,Mostly cloudy .
"Wed, 25 Apr 2018",rain,24.37222222,24.37222222,34.846153,13.54,300,9.9015,0,1004.55,Mostly cloudy .
"Wed, 25 Apr 2018",rain,24.37222222,24.37222222,34.846153,13.54,300,9.9015,0,1004.55,Mostly cloudy .
"Wed, 25 Apr 2018",rain,24.37222222,24.37222222,34.846153,13.54,300,9.9015,0,1004.55,Mostly cloudy .
"Wed, 25 Apr 2018",rain,24.37222222,24.37222222,34.846153,13.54,300,9.9015,0,1004.55,Mostly cloudy .
"Wed, 25 Apr 2018",rain,24.37222222,24.37222222,34.846153,13.54,300,9.9015,0,1004.55,Mostly cloudy .
"Wed, 25 Apr 2018",rain,24.37222222,24.37222222,34.846153,13.54,300,9.9015,0,1004.55,Mostly cloudy .
